type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,RUL,<lambda>_Battery_current,<lambda>_Battery_impedance,<lambda>_Current_charge,<lambda>_Current_load,<lambda>_Current_measured,<lambda>_Sense_current,<lambda>_Temperature_measured,<lambda>_Voltage_charge,<lambda>_Voltage_load,<lambda>_Voltage_measured,mean_Battery_current,mean_Battery_impedance,mean_Current_charge,mean_Current_load,mean_Current_measured,mean_Rectified_Impedance,mean_Sense_current,mean_Temperature_measured,mean_Voltage_charge,mean_Voltage_load,mean_Voltage_measured,std_Battery_current,std_Battery_impedance,std_Current_charge,std_Current_load,std_Current_measured,std_Rectified_Impedance,std_Sense_current,std_Temperature_measured,std_Voltage_charge,std_Voltage_load,std_Voltage_measured,Impedance_Magnitude_Avg,Impedance_Magnitude_Change_Rate
discharge,2008-04-04 01:38:15,24,B0005,17,5138,05138.csv,1.8247738529891333,,,431.0,,,,0.0001999999999999,0.0011919859052198,,10.416617894591528,,0.0,-0.8916183154659678,,,,-1.8405052631578949,-1.853972745505648,,,32.3461408313,,2.4485105263157894,3.5529355991467955,,,,0.5400961907994427,0.5439173113548029,,,3.3813142741426034,,0.7271650230780364,0.2330679954907623,,
charge,2008-04-04 02:48:06,24,B0005,18,5139,05139.csv,,,,,,,0.0,,0.0032672640941561,,-4.97443483791896,0.0,,0.811046764478939,,,0.953116178067318,,0.9608152867945828,,,26.7021703105932,4.418718783930511,,4.055138987448824,,,0.6597268642408228,,0.6644988543836526,,,1.415519692900562,0.7748518919943445,,0.174938909861068,,
discharge,2008-04-04 05:48:08,24,B0005,19,5140,05140.csv,1.824613268496936,,,429.0,,,,0.0,0.0072374137461694,,10.457678997751476,,0.0,-0.9008189439811312,,,,-1.8404957894736844,-1.853589933851096,,,32.27679750791685,,2.4496526315789477,3.5512057319377,,,,0.5400855800137525,0.5437675433297863,,,3.3932601951659325,,0.7283379393036017,0.2373541416710242,,
charge,2008-04-04 06:58:00,24,B0005,20,5141,05141.csv,,,,,,,0.0,,0.0007565998952285,,-5.069946231351061,0.0,,0.8168460685890997,,,0.9543456521739132,,0.961954518108792,,,26.608132946993933,4.407784782608696,,4.054491573689292,,,0.659282778830172,,0.6638007151835001,,,1.4255469653539852,0.8015482334869476,,0.1756449404154751,,
discharge,2008-04-04 09:57:19,24,B0005,21,5142,05142.csv,1.8246195526864504,,,427.0,,,,0.0,0.0038076331890094,,10.885763693803671,,0.0,-0.922640480849766,,,,-1.8502624338624336,-1.863380178294828,,,32.15709350345252,,2.4602222222222223,3.549292319740949,,,,0.5245530921716226,0.5281400480827111,,,3.428338024143619,,0.708758926795322,0.2437430225146571,,
charge,2008-04-04 11:06:50,24,B0005,22,5143,05143.csv,,,,,,,0.0,,-0.0027496385413574,,-4.9120023975713,0.0,,0.8267790545013538,,,0.9611226725082148,,0.9688176644385617,,,26.63314786563377,4.446259583789704,,4.0526146919932,,,0.6566076596468282,,0.6613491491362384,,,1.397831293222098,0.6900030427394787,,0.1773915644735157,,
charge,2008-04-04 15:05:59,24,B0005,23,5144,05144.csv,,,,,,,0.002,,0.0032120627229684,,-5.372463993497696,0.0,,0.5412659196242884,,,0.9409453734671126,,0.948479102987148,,,27.033644494333256,4.453830546265329,,4.076087195502948,,,0.6609427286379639,,0.6656731435892914,,,1.5552649839126529,0.712558722707789,,0.1444730082045141,,
discharge,2008-04-04 17:56:27,24,B0005,24,5145,05145.csv,1.8142019357673917,,,424.0,,,,0.0,-2.215137047799993e-05,,10.84863164714078,,0.0,-0.8936763878032288,,,,-1.8593454545454544,-1.8729688102878943,,,32.36407129853099,,2.4758021390374334,3.559759220648976,,,,0.509426232821021,0.5130716590837109,,,3.372628957375283,,0.6870295797389367,0.2294762470979779,,
charge,2008-04-04 19:05:19,24,B0005,25,5146,05146.csv,,,,,,,0.0,,-0.0033492172537187,,-5.088252305363007,0.0,,0.796656648980786,,,0.9594375,,0.9671176035785912,,,26.87061818774568,4.433821271929825,,4.054612747973269,,,0.6573650562398362,,0.6619859033448112,,,1.4304403874749774,0.7357712098066751,,0.1737823137025643,,
discharge,2008-04-04 22:01:54,24,B0005,26,5147,05147.csv,1.8137521577549054,,,422.0,,,,0.0,-0.0023308169087787,,11.22463335537283,,0.0,-0.9175293792352032,,,,-1.869324731182796,-1.8826095043160835,,,32.3181954403762,,2.493279569892473,3.558081969139198,,,,0.4920713355571064,0.4956165132448094,,,3.3830347534459797,,0.6665470907001958,0.235240978233635,,
charge,2008-04-04 23:10:25,24,B0005,27,5148,05148.csv,,,,,,,0.0,,-0.0019562628475306,,-5.611340224001129,0.0,,0.8081888863215339,,,0.9207749737118822,,0.9281364622466176,,,26.738987031481408,4.244855941114617,,4.059265909682025,,,0.6710209298205505,,0.6759376807221643,,,1.5091589062457242,1.144011579470258,,0.1736267555134004,,
discharge,2008-04-05 02:20:26,24,B0005,28,5149,05149.csv,1.8134404914735822,,,420.0,,,,0.0,-0.0014644944550585,,11.421626290326271,,0.0,-0.9239826818077032,,,,-1.869324731182796,-1.8825367876363652,,,32.15709029211502,,2.4930591397849464,3.555692244172496,,,,0.4920757242661839,0.4956211462224087,,,3.4352703228831944,,0.66726920840361,0.2385534552786928,,
charge,2008-04-05 03:28:57,24,B0005,29,5150,05150.csv,,,,,,,0.0,,-0.0013390676168786,,-5.330478280542902,0.0,,0.8128491103594642,,,0.9609857299670692,,0.9687280220511733,,,26.692190227813647,4.435383095499452,,4.053495431054621,,,0.6565626413328317,,0.6612130330276145,,,1.4812386399762925,0.7205053029215676,,0.1759535055233168,,
discharge,2008-04-05 06:25:01,24,B0005,30,5151,05151.csv,1.8025980036306504,,,418.0,,,,0.0,0.0023742243251805,,11.059924568016712,,0.0,-0.8799991002501621,,,,-1.868625945945946,-1.8817935155260213,,,32.044070003146096,,2.493508108108108,3.562746818017503,,,,0.4933185294483294,0.4967589302069122,,,3.369577367933261,,0.6664548903397847,0.2245337571832233,,
charge,2008-04-05 07:33:12,24,B0005,31,5152,05152.csv,,,,,,,0.0,,-7.03533448687e-05,,-5.278840872078465,0.0,,0.7777843908431463,,,0.9545514223194748,,0.9622055340791628,,,26.56331347092117,4.417856673960612,,4.057009589497505,,,0.6588494003959758,,0.6634914549071002,,,1.47233591154584,0.776717992091077,,0.1710933723609572,,
discharge,2008-04-05 10:30:32,24,B0005,32,5153,05153.csv,1.80210690024615,,,416.0,,,,0.0,-0.0038978438673518,,11.484895762603898,,0.0,-0.9010630201720548,,,,-1.8787804347826087,-1.8921861285036712,,,31.93159367491153,,2.5033804347826085,3.5614521756489204,,,,0.4748910340908946,0.4783175942794847,,,3.3944813682353794,,0.6422033425380337,0.2285918114151638,,
charge,2008-04-05 11:38:22,24,B0005,33,5154,05154.csv,,,,,,,0.0,,0.0073364222044816,,-5.242591134319721,0.0,,0.7823381980248048,,,0.9571701427003292,,0.9646896474341132,,,26.52595276450022,4.464809001097694,,4.056509050138727,,,0.6574464124971435,,0.662107007008774,,,1.4909448669815668,0.623957543609005,,0.1720132867711941,,
discharge,2008-04-05 14:34:41,24,B0005,34,5155,05155.csv,1.802579500826209,,,414.0,,,,0.0,-0.0006714758312595,,11.879883795251573,,0.001,-0.9281458685245872,,,,-1.8890437158469944,-1.9027629207037409,,,31.941655359029298,,2.5137704918032786,3.5603420474985823,,,,0.4552718992582877,0.4583670956269601,,,3.410138436875302,,0.6165222131799164,0.2336151721811594,,
charge,2008-04-05 15:42:11,24,B0005,35,5156,05156.csv,,,,,,,0.0,,-0.0026247394650812,,-5.506633991869869,0.0,,0.7913679245956948,,,0.954698795180723,,0.9622720569618808,,,26.591676949772925,4.422258488499453,,4.055991881873581,,,0.6585181182223125,,0.6631031764320461,,,1.507719272142573,0.7634659706716403,,0.1730241539000524,,
discharge,2008-04-05 18:39:25,24,B0005,36,5157,05157.csv,1.8030683142834096,,,412.0,,,,0.0,-9.714796004370049e-05,,12.319797328444292,,0.0,-0.9593129780723806,,,,-1.89941978021978,-1.913347060582244,,,31.965008645476725,,2.5288736263736262,3.5591189041401865,,,,0.4342885280242066,0.4370967010164596,,,3.42421539021763,,0.5910965000228499,0.239395023298654,,
charge,2008-04-05 19:46:36,24,B0005,37,5158,05158.csv,,,,,,,0.0,,-0.0010600317982489,,-5.789963347167475,0.0,,0.8020955208414153,,,0.946315618221258,,0.9537153567418096,,,26.645032205307864,4.377891540130152,,4.056478346718693,,,0.6615352616818937,,0.6662136727185141,,,1.552080767446793,0.8749916960387807,,0.1740601593131625,,
discharge,2008-04-05 22:46:35,24,B0005,38,5159,05159.csv,1.8027776247196041,,,410.0,,,,0.0,-0.000469813581804,,12.41746051825718,,0.0,-0.9648936966571422,,,,-1.8994164835164835,-1.9131602105481536,,,31.966241678512723,,2.529324175824176,3.557886771846508,,,,0.4342928573147823,0.437393752193808,,,3.4428404616047628,,0.5916773229982892,0.2421163852190815,,
charge,2008-04-18 17:34:22,24,B0005,39,5160,05160.csv,,,,,,,0.0,,0.0010169951995748,,0.5113507164768691,0.0,,0.6087296299456892,,,0.9334212218649518,,0.9411642330468534,,,25.663244609650956,4.407660235798499,,4.079851333950047,,,0.665789533774041,,0.6705601644122202,,,1.338953390115588,0.8507690507911441,,0.1422722120224025,,
impedance,2008-04-18 20:55:29,24,B0005,40,5161,05161.csv,,0.04466870036616091,0.06945627304536996,,185.29666018179492,-0.0361420800223816,,,,916.0900052346908,,,,,323.1039834618639,0.2089502079760751,,,,0.0591961882308579,816.4267024624833,,,,,62.58168479850032,0.0717922911560562,,,,0.008479461633361,125.06367301923125,,,,,0.05918447798910552,
discharge,2008-04-18 21:10:19,24,B0005,41,5162,05162.csv,1.8470259949329193,,,407.0,,,,0.0,0.0035688412042825,,10.376104369035351,,0.0,-0.928873728400041,,,,-1.8422010416666668,-1.8553455745575973,,,32.37143341978575,,2.4483229166666667,3.5520375235511907,,,,0.5375046141761849,0.5414698544768106,,,3.367045402578324,,0.722817806257398,0.2347778294843276,,
impedance,2008-04-18 22:39:16,24,B0005,42,5163,05163.csv,,0.04668700162486933,0.07627474098530587,,179.8615443314686,-0.1085740436094746,,,,919.80309652546,,,,,323.62563296584096,0.2147716181768545,,,,0.0606154308107048,815.0319260564542,,,,,68.34925366479199,0.0823328699546066,,,,0.010242841579479,127.86253699333106,,,,,0.060600342971676775,
charge,2008-04-18 22:53:58,24,B0005,43,5164,05164.csv,,,,,,,0.0,,-0.0015319646942132,,-0.1430518193274679,0.0,,0.7989886681639642,,,0.9536472491909384,,0.9612867786553304,,,26.0150180001194,4.438400215749731,,4.057903790387567,,,0.6611897203335986,,0.6654265725367904,,,1.2788418280870304,0.7480005230071431,,0.1702164971240644,,
impedance,2008-04-19 02:14:27,24,B0005,44,5165,05165.csv,,0.044843430573346096,0.0679720560130687,,181.60279661673715,-0.0335248656060486,,,,913.7073253003316,,,,,323.7401647247099,0.2087162071516686,,,,0.0586257283038408,815.7607203654292,,,,,63.16379544515344,0.0726367365640363,,,,0.0080963532503216,125.07669689153497,,,,,0.058616785842828506,
discharge,2008-04-19 02:29:09,24,B0005,45,5166,05166.csv,1.847417311283644,,,403.0,,,,0.0,0.0034901309483498,,11.14671269463825,,0.0,-0.969582566312635,,,,-1.8615263157894737,-1.8746995273150973,,,32.70024990461686,,2.474068421052632,3.5525668436897124,,,,0.5056617687577144,0.5092300236214019,,,3.423475752251563,,0.6829999810613239,0.2448173475304705,,
impedance,2008-04-19 03:57:24,24,B0005,46,5167,05167.csv,,0.04619468955099375,0.07453388918437964,,180.1018674106229,-0.0964868366634007,,,,917.6491706573262,,,,,324.4263457076668,0.2129473531393761,,,,0.0598245409372414,814.6736806203832,,,,,67.15591584612775,0.08086639619579,,,,0.0102348705562247,126.89221803078505,,,,,0.05980770569168636,
charge,2008-04-19 04:12:06,24,B0005,47,5168,05168.csv,,,,,,,0.0,,-0.0037965601249835,,-0.8678967560331934,0.0,,0.8068474787073567,,,0.9553798701298704,,0.963212383695507,,,26.09181445728815,4.4329090909090905,,4.056383883924776,,,0.6614468281451314,,0.6660886466740791,,,1.2301173257835996,0.7474625956672345,,0.1717370028614301,,
impedance,2008-04-19 07:32:33,24,B0005,48,5169,05169.csv,,0.04510114851143001,0.06852832896000328,,182.199116245542,-0.0330706583836837,,,,913.3631180921084,,,,,323.0674710450523,0.2092581728649849,,,,0.0592150708250843,816.2461883667588,,,,,62.908495642125125,0.072406172396113,,,,0.0085953280515343,125.00239071553536,,,,,0.059205137922538405,
discharge,2008-04-19 07:47:15,24,B0005,49,5170,05170.csv,1.8361774213478947,,,399.0,,,,0.0,-0.0012695047288158,,11.005353173718875,,0.0,-0.9301375994731528,,,,-1.8608,-1.8738272127883848,,,32.32266411829938,,2.480037037037037,3.55679403832704,,,,0.5069012569084034,0.5103730187309344,,,3.404198992305272,,0.6843416184542782,0.2337389126892703,,
impedance,2008-04-19 09:15:10,24,B0005,50,5171,05171.csv,,0.04599074473076839,0.07342664108773311,,180.41348188909487,-0.1115422920276072,,,,917.133351823588,,,,,325.4500530814132,0.2125279892780493,,,,0.0592042235321038,813.8002245891472,,,,,68.39035780617478,0.0819885797359567,,,,0.0098895902388323,127.416992975965,,,,,0.05918733245659546,
charge,2008-04-19 09:29:52,24,B0005,51,5172,05172.csv,,,,,,,0.0,,9.55193058013999e-05,,-0.8137101380005092,0.0,,0.775293027271799,,,0.9619234135667396,,0.969750668043904,,,25.709030057450278,4.443292122538293,,4.058279288673889,,,0.6586174046397186,,0.6632608919474134,,,1.2299326080514157,0.721354363125123,,0.1676436582803138,,
impedance,2008-04-19 12:47:00,24,B0005,52,5173,05173.csv,,0.044172075577171746,0.06804449516996176,,173.29058269895245,-0.0234763581077758,,,,917.6822877068114,,,,,323.21785861804847,0.2096433565356756,,,,0.0589854165552372,816.2106388510329,,,,,63.435303352680414,0.0739302130384501,,,,0.0084169716954865,125.1384014100935,,,,,0.05897538083682463,
discharge,2008-04-19 13:01:42,24,B0005,53,5174,05174.csv,1.8257807475776242,,,395.0,,,,0.0,0.003607380523337,,11.278949324436436,,0.0,-0.907087278892567,,,,-1.8700117647058825,-1.883193546754683,,,31.98795810666763,,2.4924491978609624,3.5614100044534203,,,,0.4908410785345666,0.4943730360583862,,,3.4134139076577568,,0.6619231928747339,0.2254499468391753,,
impedance,2008-04-19 14:28:58,24,B0005,54,5175,05175.csv,,0.0452171085992494,0.07464778408413367,,181.19246877610192,-0.1053090047872314,,,,916.2878459899772,,,,,324.67605210529206,0.2132998694791866,,,,0.0597592721317776,814.4735219004697,,,,,67.90983757452852,0.0815717412757571,,,,0.0102992647837884,127.3446524360565,,,,,0.059744575328107064,
charge,2008-04-19 14:43:41,24,B0005,55,5176,05176.csv,,,,,,,0.0,,0.003859362125747,,-0.9511722580223464,0.0,,0.7511871393493008,,,0.9236,,0.9310567141504488,,,25.47363156396457,4.299253684210527,,4.065739463308087,,,0.6715296631677751,,0.6763149408716324,,,1.2264056050021943,1.060428487595765,,0.163003730440482,,
impedance,2008-04-19 18:12:47,24,B0005,56,5177,05177.csv,,0.043786628196075913,0.06845021227072765,,176.22208938387806,-0.0264854222249465,,,,920.2824550898204,,,,,323.6141530549878,0.2092859034459832,,,,0.0587978707121443,816.2051351626425,,,,,63.38594697050413,0.0736556084684036,,,,0.0085372864809338,125.13683410509454,,,,,0.05878774452507375,
discharge,2008-04-19 18:27:29,24,B0005,57,5178,05178.csv,1.8251136435078368,,,391.0,,,,0.0,-0.0032825967835917,,11.154444278894507,,0.0,-0.9076727364776334,,,,-1.860063829787234,-1.873239184822504,,,31.894456524691385,,2.4792606382978724,3.556610794781798,,,,0.5081576981325291,0.5118130466075484,,,3.44564206028333,,0.685822369188068,0.23129045070961,,
impedance,2008-04-19 19:55:05,24,B0005,58,5179,05179.csv,,0.04490994541365791,0.07395687603254197,,178.88067162014772,-0.1055657418449341,,,,917.357830465439,,,,,325.3383029492804,0.2127910864720774,,,,0.0591925979477075,814.0944469300438,,,,,68.47416259495236,0.0822921524920738,,,,0.0102726758533211,127.43619496506854,,,,,0.05917735641022702,
charge,2008-04-19 20:09:47,24,B0005,59,5180,05180.csv,,,,,,,0.0,,0.0026362988147194,,-0.6563831890646092,0.0,,0.755711683312652,,,0.9569312227074236,,0.9648375330851496,,,25.427401199812184,4.447651746724891,,4.0611501521821065,,,0.6595809952186201,,0.6642422913224572,,,1.234251035543289,0.7053245471685184,,0.1647620726731314,,
impedance,2008-04-19 23:27:13,24,B0005,60,5181,05181.csv,,0.04463932198878524,0.0683410113732366,,174.77757348961836,-0.0248039260125106,,,,914.0040228547218,,,,,323.0223718739734,0.2097048351944546,,,,0.0592005592337915,816.2964766702971,,,,,63.25778568373011,0.073571574378882,,,,0.0085831032132565,125.07172295676278,,,,,0.05918812525959185,
discharge,2008-04-19 23:41:55,24,B0005,61,5182,05182.csv,1.8255815042203762,,,387.0,,,,0.0,0.0042882867350968,,12.478880357113944,,0.0,-0.982672465573004,,,,-1.9004891304347828,-1.9139593751505897,,,31.78039681801023,,2.5292119565217392,3.5586742170266272,,,,0.4320248979509317,0.4348648966308472,,,3.4543490512089248,,0.5871833607070563,0.2391092244793281,,
impedance,2008-04-20 01:08:11,24,B0005,62,5183,05183.csv,,0.04717044086931744,0.07208112164479205,,180.706293032035,-0.1067844867509351,,,,918.5044720075508,,,,,324.74823476745433,0.213144763813216,,,,0.0596752049774407,814.3610070435101,,,,,67.9256147168307,0.081631919419193,,,,0.0099579853534946,127.40183582072794,,,,,0.059656631898586936,
charge,2008-04-20 01:22:53,24,B0005,63,5184,05184.csv,,,,,,,0.0,,-0.0033187434947381,,-0.7509337499060678,0.0,,0.7649594897339993,,,0.9577846994535518,,0.9656310887431298,,,25.37095530984966,4.455490710382514,,4.060647477294544,,,0.6591101807742089,,0.663686982949426,,,1.2339958604944803,0.674029119967008,,0.165888002145297,,
impedance,2008-04-20 04:39:59,24,B0005,64,5185,05185.csv,,0.043558785775475374,0.06868237655872211,,185.6201271167841,-0.0369558947310494,,,,919.7557791254196,,,,,323.69922891239395,0.2087768852933477,,,,0.0588761503096046,816.4055434636157,,,,,62.920809006193096,0.0722291351273926,,,,0.008562955551675,125.08783419380444,,,,,0.05886534511855668,
discharge,2008-04-20 04:54:41,24,B0005,65,5186,05186.csv,1.8140311275083907,,,383.0,,,,-0.0002,0.0043701792038179,,11.936722980530565,,0.0,-0.9113942001834884,,,,-1.8896369565217397,-1.9030532722310995,,,31.688747146342205,,2.516663043478261,3.564103182686904,,,,0.4540879748462584,0.4573362383960382,,,3.432535498835743,,0.6134064124407843,0.2243233017803933,,
impedance,2008-04-20 06:20:57,24,B0005,66,5187,05187.csv,,0.04648969708635643,0.07102909339339247,,180.71546178887235,-0.1049743108379557,,,,920.5326535755652,,,,,325.804179635289,0.2119514965869997,,,,0.0587258934012935,813.5343382462119,,,,,68.11078327728333,0.0817709344146991,,,,0.0095666893160685,127.23948535285392,,,,,0.058711401969942414,
charge,2008-04-20 06:35:39,24,B0005,67,5188,05188.csv,,,,,,,0.0,,-0.0005825464854848,,-0.9756484505639946,0.0,,0.7312302712535526,,,0.9267738853503183,,0.9343625511181636,,,25.27368217034848,4.321113588110404,,4.067270138639281,,,0.6695941280510816,,0.6741752754471237,,,1.2350545602523306,1.01713861995612,,0.1603320663823096,,
impedance,2008-04-20 10:01:46,24,B0005,68,5189,05189.csv,,0.04526547818261783,0.0681437253042456,,182.6924568407436,-0.0333331515710582,,,,920.016190192654,,,,,323.27989966228057,0.2091168961499828,,,,0.0591729925701638,816.3768498754638,,,,,62.79809368976265,0.0725232200047491,,,,0.0087760666890958,125.11165353392764,,,,,0.059161496673660156,
discharge,2008-04-20 10:16:28,24,B0005,69,5190,05190.csv,1.8147691941158939,,,379.0,,,,0.0,-0.0015540241644226,,12.513330365019318,,0.0,-0.9562087395572418,,,,-1.899954098360656,-1.9134590742247917,,,31.596747992569156,,2.529601092896175,3.559588063594272,,,,0.4331540908878633,0.4360661995802954,,,3.47063541983783,,0.5882583526388286,0.234632555802405,,
impedance,2008-04-20 11:42:26,24,B0005,70,5191,05191.csv,,0.0463622366817154,0.07193029860543036,,177.27559815176303,-0.097864739584037,,,,918.710606405762,,,,,325.00273238116165,0.2128180786701313,,,,0.0592902853904112,814.1873813652063,,,,,68.0234521107081,0.0817294062303864,,,,0.0098171872877967,127.2372536252803,,,,,0.059272798309447094,
charge,2008-04-20 11:57:08,24,B0005,71,5192,05192.csv,,,,,,,0.0,,0.0003499660200092,,-0.9481702290858784,0.0,,0.744949930291019,,,0.9302843450479232,,0.9378723891405096,,,25.18812263165628,4.347584664536741,,4.06627015738475,,,0.6682114553984115,,0.6728762316790989,,,1.2387845051423771,0.9578704603357192,,0.1620583819329671,,
