type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,RUL,delta_0
charge,2010-07-30 21:20:14,4,B0047,73,74,00074.csv,,,,,2.906033384096146
discharge,2010-07-31 00:21:41,4,B0047,74,75,00075.csv,1.2173435064564189,,,0.0,1.288954654481623
charge,2010-07-31 01:43:57,4,B0047,75,76,00076.csv,,,,,2.293204773291689
discharge,2010-07-31 04:45:24,4,B0047,76,77,00077.csv,1.2073445944515917,,,0.0,1.3830244136426162
charge,2010-07-31 06:07:05,4,B0047,77,78,00078.csv,,,,,2.338309405552835
discharge,2010-07-31 09:08:38,4,B0047,78,79,00079.csv,1.18804049227045,,,0.0,1.403752660298613
charge,2010-07-31 10:29:39,4,B0047,79,80,00080.csv,,,,,2.8120590058820256
discharge,2010-07-31 13:31:07,4,B0047,80,81,00081.csv,1.186304749886542,,,0.0,1.624001819177493
impedance,2010-07-31 14:55:48,24,B0047,81,82,00082.csv,,0.0701001536900913,0.22987797007523192,,0.21717929541073072
charge,2010-07-31 15:27:42,4,B0047,82,83,00083.csv,,,,,1.7982840097308517
impedance,2010-07-31 18:33:11,24,B0047,83,84,00084.csv,,0.06550718241713958,0.20355160811691492,,0.3726088991367237
discharge,2010-08-03 15:52:53,4,B0047,84,85,00085.csv,1.2613935471028506,,,0.0,1.8299754208329613
impedance,2010-08-03 17:20:28,24,B0047,85,86,00086.csv,,0.06547504558382393,0.23692895486998544,,0.15589188850124158
charge,2010-08-03 17:52:22,4,B0047,86,87,00087.csv,,,,,1.5392621151411898
impedance,2010-08-03 20:57:49,24,B0047,87,88,00088.csv,,0.06405018284856573,0.2030937186647097,,0.3806426286932107
discharge,2010-08-03 21:29:43,4,B0047,88,89,00089.csv,1.2648246158850653,,,0.0,1.2277479884402567
charge,2010-08-03 22:54:43,4,B0047,89,90,00090.csv,,,,,2.126145692576568
discharge,2010-08-04 01:56:12,4,B0047,90,91,00091.csv,1.2466494548982199,,,0.0,1.4270495249538346
charge,2010-08-04 03:19:23,4,B0047,91,92,00092.csv,,,,,2.7310049713533906
discharge,2010-08-04 06:20:57,4,B0047,92,93,00093.csv,1.2333924152795082,,,0.0,1.558861272424653
charge,2010-08-04 07:43:19,4,B0047,93,94,00094.csv,,,,,2.3295059444178787
discharge,2010-08-04 10:44:49,4,B0047,94,95,00095.csv,1.2129250072037692,,,0.0,1.5688704060151846
charge,2010-08-04 12:06:28,4,B0047,95,96,00096.csv,,,,,2.795592988122111
discharge,2010-08-04 15:07:58,4,B0047,96,97,00097.csv,1.1999106597943647,,,0.0,1.589325428984492
impedance,2010-08-04 16:32:38,24,B0047,97,98,00098.csv,,0.06709824474037232,0.2303958167446359,,0.22358429532135668
charge,2010-08-04 17:04:33,4,B0047,98,99,00099.csv,,,,,1.6433660467465652
impedance,2010-08-04 20:10:04,24,B0047,99,100,00100.csv,,0.0658333505063299,0.22044155106998758,,0.3574437831414422
discharge,2010-08-04 20:41:59,4,B0047,100,101,00101.csv,1.1902559038393383,,,0.0,1.5461145022793472
charge,2010-08-04 22:02:33,4,B0047,101,102,00102.csv,,,,,2.894442456863955
discharge,2010-08-05 01:04:03,4,B0047,102,103,00103.csv,1.1892563795455853,,,0.0,1.4718493295543091
charge,2010-08-05 02:23:35,4,B0047,103,104,00104.csv,,,,,2.8226274851346673
discharge,2010-08-05 05:25:07,4,B0047,104,105,00105.csv,1.167069685125939,,,0.0,2.0411896957184212
charge,2010-08-05 06:44:04,4,B0047,105,106,00106.csv,,,,,2.6963344893658086
discharge,2010-08-05 09:45:36,4,B0047,106,107,00107.csv,1.1615348403090369,,,0.0,2.049869115802187
charge,2010-08-05 11:04:13,4,B0047,107,108,00108.csv,,,,,3.088443671609481
discharge,2010-08-05 14:05:44,4,B0047,108,109,00109.csv,1.1555563844349988,,,0.0,2.1185234036489455
impedance,2010-08-05 15:27:47,24,B0047,109,110,00110.csv,,0.06982103693778563,0.24787176507460934,,0.2742817167335257
charge,2010-08-05 15:59:42,4,B0047,110,111,00111.csv,,,,,1.9672862653218888
impedance,2010-08-05 19:05:13,24,B0047,111,112,00112.csv,,0.06878780909118251,0.21360336620224382,,0.3448321213739132
discharge,2010-08-05 19:37:08,4,B0047,112,113,00113.csv,1.1488524666097713,,,0.0,1.453802279138622
charge,2010-08-05 20:54:47,4,B0047,113,114,00114.csv,,,,,2.768124507333088
discharge,2010-08-05 23:56:22,4,B0047,114,115,00115.csv,1.143572986788779,,,0.0,1.9427897162865406
charge,2010-08-06 01:13:28,4,B0047,115,116,00116.csv,,,,,2.6331084484045317
discharge,2010-08-06 04:15:03,4,B0047,116,117,00117.csv,1.1418015379428537,,,0.0,1.8062687206582495
charge,2010-08-06 05:31:48,4,B0047,117,118,00118.csv,,,,,2.6686500504831905
discharge,2010-08-06 08:33:24,4,B0047,118,119,00119.csv,1.136058647502255,,,0.0,2.120816941099465
charge,2010-08-06 09:49:49,4,B0047,119,120,00120.csv,,,,,3.4507583603120167
discharge,2010-08-06 12:51:21,4,B0047,120,121,00121.csv,1.1236364680969286,,,0.0,2.191300696190722
impedance,2010-08-06 14:11:12,24,B0047,121,122,00122.csv,,0.07117358017648434,0.23685982966743208,,0.15683673191784916
charge,2010-08-06 14:43:07,4,B0047,122,123,00123.csv,,,,,1.5774498262950345
impedance,2010-08-06 17:48:41,24,B0047,123,124,00124.csv,,0.06704245742224402,0.2239461958000678,,0.36468871152920085
discharge,2010-08-06 18:20:37,4,B0047,124,125,00125.csv,1.1320498900328944,,,0.0,1.4698262226318226
charge,2010-08-06 19:36:20,4,B0047,125,126,00126.csv,,,,,2.4621920807764015
discharge,2010-08-06 22:37:51,4,B0047,126,127,00127.csv,1.1170101762158153,,,0.0,1.546547217965549
charge,2010-08-06 23:53:10,4,B0047,127,128,00128.csv,,,,,2.62015976734982
discharge,2010-08-07 02:54:46,4,B0047,128,129,00129.csv,1.120043039721982,,,0.0,1.4029703295703715
charge,2010-08-07 04:09:31,4,B0047,129,130,00130.csv,,,,,3.0738863021333955
discharge,2010-08-07 07:11:08,4,B0047,130,131,00131.csv,1.1059773445917063,,,0.0,1.9124615439783492
charge,2010-08-07 08:25:18,4,B0047,131,132,00132.csv,,,,,2.7643307974599587
discharge,2010-08-07 11:26:50,4,B0047,132,133,00133.csv,0,,,0.0,2.0522447744777117
impedance,2010-08-07 12:32:26,24,B0047,133,134,00134.csv,,0.07023260964111881,0.24323243271860617,,0.35886691593126685
charge,2010-08-07 13:04:21,4,B0047,134,135,00135.csv,,,,,1.869120723313247
impedance,2010-08-07 16:09:53,24,B0047,135,136,00136.csv,,0.06768700346240909,0.22229050779281917,,0.25338558468511274
discharge,2010-08-10 15:39:28,4,B0047,136,137,00137.csv,1.1907902374762016,,,0.0,2.219597509249066
impedance,2010-08-10 17:04:18,24,B0047,137,138,00138.csv,,0.07161977998793091,0.23403724411294652,,0.1641933797178512
charge,2010-08-10 17:36:14,4,B0047,138,139,00139.csv,,,,,1.70161803445892
impedance,2010-08-10 20:41:53,24,B0047,139,140,00140.csv,,0.07068108535338244,0.19528521622738274,,0.36740112629609034
discharge,2010-08-10 21:13:49,4,B0047,140,141,00141.csv,1.2012387088454022,,,0.0,1.647155220167771
charge,2010-08-10 22:33:31,4,B0047,141,142,00142.csv,,,,,2.458581078989855
discharge,2010-08-11 01:35:02,4,B0047,142,143,00143.csv,1.1906909549024802,,,0.0,1.5717795165431712
charge,2010-08-11 02:53:22,4,B0047,143,144,00144.csv,,,,,2.66153251533543
discharge,2010-08-11 05:54:59,4,B0047,144,145,00145.csv,1.1764375730308343,,,0.0,1.8452689440202545
charge,2010-08-11 07:12:27,4,B0047,145,146,00146.csv,,,,,2.8843545084375197
discharge,2010-08-11 10:14:04,4,B0047,146,147,00147.csv,1.1628110372792353,,,0.0,2.2496934008967364
charge,2010-08-11 11:31:14,4,B0047,147,148,00148.csv,,,,,3.3538246944396737
discharge,2010-08-11 14:32:46,4,B0047,148,149,00149.csv,1.1516152840582585,,,0.0,2.2637049449879574
impedance,2010-08-11 15:53:17,24,B0047,149,150,00150.csv,,0.07509561004673014,0.23858006096341283,,0.25018747287240883
charge,2010-08-11 16:25:13,4,B0047,150,151,00151.csv,,,,,1.8529540240783282
impedance,2010-08-11 19:30:44,24,B0047,151,152,00152.csv,,0.07216164396916556,0.21346805183925466,,0.32827131724767317
discharge,2010-08-12 12:34:22,4,B0047,152,153,00153.csv,1.1583673498348623,,,0.0,1.798396496374264
impedance,2010-08-12 13:55:19,24,B0047,153,154,00154.csv,,0.0744699239483102,0.22881371041584014,,0.27544722748408734
charge,2010-08-12 14:27:15,4,B0047,154,155,00155.csv,,,,,1.534475211855735
impedance,2010-08-12 17:32:50,24,B0047,155,156,00156.csv,,0.07206578369812164,0.21699657259865804,,0.3624626268660685
discharge,2010-08-12 18:04:47,4,B0047,156,157,00157.csv,1.1692285288386206,,,0.0,2.0208073420395998
charge,2010-08-12 19:22:39,4,B0047,157,158,00158.csv,,,,,2.768371244422692
discharge,2010-08-12 22:24:12,4,B0047,158,159,00159.csv,1.1588148476218465,,,0.0,2.249354055428255
charge,2010-08-12 23:40:56,4,B0047,159,160,00160.csv,,,,,2.9696300526831325
discharge,2010-08-13 02:42:32,4,B0047,160,161,00161.csv,1.1439588147705457,,,0.0,2.3133257818206605
charge,2010-08-13 03:58:07,4,B0047,161,162,00162.csv,,,,,3.1657287117244155
discharge,2010-08-13 06:59:39,4,B0047,162,163,00163.csv,1.1383941068159398,,,0.0,2.25215375452296
charge,2010-08-13 08:14:54,4,B0047,163,164,00164.csv,,,,,3.5234287392182857
discharge,2010-08-13 11:16:29,4,B0047,164,165,00165.csv,0,,,0.0,1.4726541458846547
impedance,2010-08-13 11:55:20,24,B0047,165,166,00166.csv,,0.07588155579843063,0.21716973379374443,,0.23610197931158436
charge,2010-08-13 12:27:18,4,B0047,166,167,00167.csv,,,,,0.05029152538025894
impedance,2010-08-13 15:32:55,24,B0047,167,168,00168.csv,,0.07280052727114004,0.2167410015359882,,0.30493475648375024
discharge,2010-08-16 10:57:07,4,B0047,168,169,00169.csv,1.2213102850395667,,,0.0,1.3684621533172405
impedance,2010-08-16 12:24:17,24,B0047,169,170,00170.csv,,0.07227737714460603,0.23707482814903902,,0.2007803485476384
charge,2010-08-16 12:56:14,4,B0047,170,171,00171.csv,,,,,1.8320828888116738
impedance,2010-08-16 16:01:52,24,B0047,171,172,00172.csv,,0.07278328377782098,0.21520598666769783,,0.32131557237591674
discharge,2010-08-16 16:33:48,4,B0047,172,173,00173.csv,1.2031062978889062,,,0.0,1.6577508050102054
charge,2010-08-16 17:53:19,4,B0047,173,174,00174.csv,,,,,2.668144611154101
discharge,2010-08-16 20:54:56,4,B0047,174,175,00175.csv,1.1897147112197684,,,0.0,2.1896480537688885
charge,2010-08-16 22:13:02,4,B0047,175,176,00176.csv,,,,,2.87237795015478
discharge,2010-08-17 01:14:42,4,B0047,176,177,00177.csv,1.177422568842014,,,0.0,1.928731970858208
charge,2010-08-17 02:32:20,4,B0047,177,178,00178.csv,,,,,2.8894465141638412
discharge,2010-08-17 05:33:53,4,B0047,178,179,00179.csv,1.158443027293818,,,0.0,2.252525037386316
charge,2010-08-17 06:50:25,4,B0047,179,180,00180.csv,,,,,3.4237631894714453
discharge,2010-08-17 09:52:05,4,B0047,180,181,00181.csv,1.1567087516841796,,,0.0,2.19823941741818
impedance,2010-08-17 11:12:01,24,B0047,181,182,00182.csv,,0.07436360239266564,0.23408631844470174,,0.32033924255022744
charge,2010-08-17 11:43:58,4,B0047,182,183,00183.csv,,,,,1.721467091986012
impedance,2010-08-17 14:49:38,24,B0047,183,184,00184.csv,,0.07300469972093052,0.22171366635291487,,0.349601440009925
discharge,2010-07-21 15:00:35,4,B0045,0,185,00185.csv,1.0819793880779518,,,0.0,0.5894129960986715
impedance,2010-07-21 16:53:45,24,B0045,1,186,00186.csv,,0.07262833091140136,0.24565288003805374,,0.6669524268374475
charge,2010-07-21 17:25:40,4,B0045,2,187,00187.csv,,,,,1.5147913118268017
impedance,2010-07-21 20:31:05,24,B0045,3,188,00188.csv,,0.06508671766814605,0.2144103420624745,,0.18181344157149987
discharge,2010-07-21 21:02:56,4,B0045,4,189,00189.csv,0.927952404748273,,,0.0,0.25643440762365394
charge,2010-07-21 22:38:43,4,B0045,5,190,00190.csv,,,,,1.7000606106610334
discharge,2010-07-22 01:40:06,4,B0045,6,191,00191.csv,0.885193608411576,,,0.0,0.655663936248657
charge,2010-07-22 03:14:53,4,B0045,7,192,00192.csv,,,,,1.518611981915524
discharge,2010-07-22 06:16:21,4,B0045,8,193,00193.csv,0.8581010699478283,,,0.0,0.28471814016824754
charge,2010-07-22 07:50:21,4,B0045,9,194,00194.csv,,,,,1.5316856632877638
discharge,2010-07-22 10:51:48,4,B0045,10,195,00195.csv,0.8409352213456689,,,0.0,0.29643229570783763
charge,2010-07-22 12:25:03,4,B0045,11,196,00196.csv,,,,,1.5955456575725517
discharge,2010-07-22 15:26:29,4,B0045,12,197,00197.csv,0.8245471942901911,,,0.0,0.1915546746953136
impedance,2010-07-22 17:03:07,24,B0045,13,198,00198.csv,,0.07156780084491574,0.22917409664850488,,0.3884011679231144
charge,2010-07-22 17:34:59,4,B0045,14,199,00199.csv,,,,,1.8353377502615817
impedance,2010-07-22 20:40:25,24,B0045,15,200,00200.csv,,0.06496762136397431,0.2113722499969527,,0.2089343745017081
discharge,2010-07-23 09:59:08,4,B0045,16,201,00201.csv,0.7935960418803983,,,0.0,0.30212270301503125
impedance,2010-07-23 11:35:36,24,B0045,17,202,00202.csv,,0.07085905110621606,0.22536782747057604,,0.6096012516787084
charge,2010-07-23 12:07:29,4,B0045,18,203,00203.csv,,,,,1.4660965716913903
impedance,2010-07-23 15:12:59,24,B0045,19,204,00204.csv,,0.065834534585151,0.22481998719814678,,0.24655004190156765
discharge,2010-07-23 15:44:51,4,B0045,20,205,00205.csv,0.8183676087159205,,,0.0,0.4024646013036637
charge,2010-07-23 17:17:36,4,B0045,21,206,00206.csv,,,,,1.898244492746343
discharge,2010-07-23 20:19:02,4,B0045,22,207,00207.csv,0.7977644276409412,,,0.0,0.2911840577934214
charge,2010-07-23 21:50:50,4,B0045,23,208,00208.csv,,,,,1.4653944625026003
discharge,2010-07-24 00:52:14,4,B0045,24,209,00209.csv,0.7993777411831636,,,0.0,0.3188098489233288
charge,2010-07-24 02:23:21,4,B0045,25,210,00210.csv,,,,,1.847056170452671
discharge,2010-07-24 05:24:46,4,B0045,26,211,00211.csv,0.7783107440628891,,,0.0,0.3099015957231435
charge,2010-07-24 06:55:11,4,B0045,27,212,00212.csv,,,,,1.4558837836590073
discharge,2010-07-24 09:56:39,4,B0045,28,213,00213.csv,0.7803738231239117,,,0.0,0.323346819977014
impedance,2010-07-24 11:30:35,24,B0045,29,214,00214.csv,,0.07271611665352982,0.23728932492610438,,0.9444491014097347
charge,2010-07-24 12:02:28,4,B0045,30,215,00215.csv,,,,,1.4781341329897655
impedance,2010-07-24 15:07:54,24,B0045,31,216,00216.csv,,0.06633054353412862,0.22668842296884809,,0.18627758026170982
discharge,2010-07-27 16:12:05,4,B0045,32,217,00217.csv,0.7713058245640294,,,0.0,0.17945396652777704
impedance,2010-07-27 17:47:10,24,B0045,33,218,00218.csv,,0.07379391711435068,0.23402805149171307,,0.6910502075946864
charge,2010-07-27 18:19:03,4,B0045,34,219,00219.csv,,,,,1.512183764006463
impedance,2010-07-27 21:24:31,24,B0045,35,220,00220.csv,,0.06625716405326432,0.20403871987566008,,0.19239346504464977
discharge,2010-07-27 21:56:24,4,B0045,36,221,00221.csv,0.795279016979026,,,0.0,0.4300380291440085
charge,2010-07-27 23:28:08,4,B0045,37,222,00222.csv,,,,,1.587540291254993
discharge,2010-07-28 02:29:37,4,B0045,38,223,00223.csv,0.7824128169919247,,,0.0,0.4355802601642533
charge,2010-07-28 04:00:28,4,B0045,39,224,00224.csv,,,,,1.5185521800590542
discharge,2010-07-28 07:01:57,4,B0045,40,225,00225.csv,0.7649414992231182,,,0.0,0.3783229636002128
charge,2010-07-28 08:31:35,4,B0045,41,226,00226.csv,,,,,1.7297172953316258
discharge,2010-07-28 11:33:01,4,B0045,42,227,00227.csv,0.7544899426779375,,,0.0,0.1697084093630695
charge,2010-07-28 13:02:08,4,B0045,43,228,00228.csv,,,,,1.6907534353329154
discharge,2010-07-28 16:03:39,4,B0045,44,229,00229.csv,0.7504048978314295,,,0.0,0.4485034507864838
impedance,2010-07-28 17:36:00,24,B0045,45,230,00230.csv,,0.07407085440337718,0.24712433453213517,,0.9999660264167427
charge,2010-07-28 18:07:53,4,B0045,46,231,00231.csv,,,,,1.665411997060936
impedance,2010-07-28 21:13:22,24,B0045,47,232,00232.csv,,0.06777627439604476,0.22534672829210955,,0.4433954985268229
discharge,2010-07-28 21:45:15,4,B0045,48,233,00233.csv,0.7407258109620256,,,0.0,0.34253703760034027
charge,2010-07-28 23:13:00,4,B0045,49,234,00234.csv,,,,,1.8777493937535832
discharge,2010-07-29 02:14:29,4,B0045,50,235,00235.csv,0,,,0.0,2.403863688487089
charge,2010-07-29 02:55:52,4,B0045,51,236,00236.csv,,,,,3.121216186470768
discharge,2010-07-29 05:57:18,4,B0045,52,237,00237.csv,0.7308525593793626,,,0.0,0.3192173258673494
charge,2010-07-29 07:27:57,4,B0045,53,238,00238.csv,,,,,1.430680678811144
discharge,2010-07-29 10:29:29,4,B0045,54,239,00239.csv,0.7287255851177903,,,0.0,0.23267142397723706
charge,2010-07-29 11:56:11,4,B0045,55,240,00240.csv,,,,,1.6981582389630743
discharge,2010-07-29 14:57:39,4,B0045,56,241,00241.csv,0.7161023377036263,,,0.0,0.22619789613910335
impedance,2010-07-29 16:27:30,24,B0045,57,242,00242.csv,,0.07553585453265253,0.22696302548798958,,0.6665956735130165
charge,2010-07-29 16:59:23,4,B0045,58,243,00243.csv,,,,,1.9152463053895439
impedance,2010-07-29 20:04:55,24,B0045,59,244,00244.csv,,0.06980563364404266,0.23139179896466652,,0.6387685161573188
discharge,2010-07-29 20:36:49,4,B0045,60,245,00245.csv,0.7129204834988017,,,0.0,0.33953681119056833
charge,2010-07-29 22:02:15,4,B0045,61,246,00246.csv,,,,,1.7358175880303472
discharge,2010-07-30 01:03:48,4,B0045,62,247,00247.csv,0.7141991829499618,,,0.0,0.22208627515580584
charge,2010-07-30 02:28:41,4,B0045,63,248,00248.csv,,,,,1.538477284515297
discharge,2010-07-30 05:30:13,4,B0045,64,249,00249.csv,0.7190570819844222,,,0.0,0.215854435759818
charge,2010-07-30 06:54:35,4,B0045,65,250,00250.csv,,,,,1.457500959192993
discharge,2010-07-30 09:56:07,4,B0045,66,251,00251.csv,0.7173975428775917,,,0.0,0.199452253876335
charge,2010-07-30 11:19:35,4,B0045,67,252,00252.csv,,,,,1.7047974710835723
discharge,2010-07-30 14:21:03,4,B0045,68,253,00253.csv,0.7071027496463946,,,0.0,0.38526938856845594
impedance,2010-07-30 15:48:12,24,B0045,69,254,00254.csv,,0.07524063848548625,0.236067929047247,,0.993347288193085
charge,2010-07-30 16:20:06,4,B0045,70,255,00255.csv,,,,,1.936669519936996
impedance,2010-07-30 19:25:34,24,B0045,71,256,00256.csv,,0.06950301630038469,0.22673458416063663,,0.28887591321851497
discharge,2010-07-30 19:57:28,4,B0045,72,257,00257.csv,0.703531206505542,,,0.0,0.18363710360168303
charge,2010-07-30 21:20:14,4,B0045,73,258,00258.csv,,,,,1.8981448873402362
discharge,2010-07-31 00:21:41,4,B0045,74,259,00259.csv,0.6941108278958862,,,0.0,0.191443994793832
charge,2010-07-31 01:43:57,4,B0045,75,260,00260.csv,,,,,1.531887941917275
discharge,2010-07-31 04:45:24,4,B0045,76,261,00261.csv,0.6914114388869608,,,0.0,0.1593266452400325
charge,2010-07-31 06:07:05,4,B0045,77,262,00262.csv,,,,,1.5253426545404893
